Shipping Point,DepotLongitude,DepotLatitude,Ship to,CusLongitude,CusLatitude,Planned Delivery Date,DOW,Beginning1,Ending1,Beginning2,Ending2,Number of HUs,Dwell Time,Total Volume,Total Weight,AllowedTrucks
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.04,5.433,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.169,67.464,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.819,313.32,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.016,6.648,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.028,2.307,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.007,0.574,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70082236,124.0140628,11.0553226,2023-01-30,Monday,08:00,17:00,,,1.0,0.35,0.015,8.592,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.009,0.86,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.000457,0.072,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.006,2.264,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-26,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.19,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-26,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.14,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-26,Thursday,08:00,17:00,,,1.0,0.35,0.0,0.102,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.034,5.06,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.002,0.252,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70522201,123.8944522,10.3062942,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.001,0.159,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.002,0.22,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.002,0.516,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.002,1.02,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.013,5.52,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70090248,123.9298888,10.32123824,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.005,0.432,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089614,123.8995392,10.30702102,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.008,1.6,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70130947,123.9183403,10.36966191,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.156,39.878,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70130947,123.9183403,10.36966191,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.268,60.44,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089406,123.9246318,10.3394575,2023-01-18,Wednesday,08:00,17:00,,,1.0,0.35,0.002,0.636,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012290,123.8856329,10.32096029,2023-01-26,Thursday,08:00,17:00,,,3.0,0.55,0.068,10.304,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012290,123.8856329,10.32096029,2023-01-26,Thursday,08:00,17:00,,,2.0,0.45,0.149,12.408,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.006,3.552,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.012,6.864,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70082254,123.9483442,10.34112538,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.191,104.88,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70086569,123.9638132,10.30050516,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.008,4.272,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012918,123.9241934,10.31566949,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.007,3.568,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70383119,123.89243,10.31388628,2023-01-20,Friday,08:00,17:00,,,3.0,0.55,0.005,0.613,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012923,123.9392186,10.33551788,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.014,7.224,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012935,123.9249415,10.31788734,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.058,32.808,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089459,123.8994393,10.29431136,2023-02-06,Monday,08:00,17:00,,,3.0,0.55,0.046,11.319,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012290,123.8856329,10.32096029,2023-01-26,Thursday,08:00,17:00,,,4.0,0.65,0.078,19.317,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70086569,123.9638132,10.30050516,2023-01-25,Wednesday,08:00,17:00,,,3.0,0.55,0.045,28.047,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70086569,123.9638132,10.30050516,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.361,89.796,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012935,123.9249415,10.31788734,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.032,19.608,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012935,123.9249415,10.31788734,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.336,92.452,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70130947,123.9183403,10.36966191,2023-01-26,Thursday,08:00,17:00,,,3.0,0.55,0.101,31.216,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012920,123.9391432,10.3355742,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.004,1.616,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012920,123.9391432,10.3355742,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.05,14.496,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012920,123.9391432,10.3355742,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.09,30.248,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70436633,123.902625,10.29250211,2023-01-27,Friday,08:00,17:00,,,4.0,0.65,1.871,752.478,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70436633,123.902625,10.29250211,2023-01-27,Friday,08:00,17:00,,,4.0,0.65,1.406,919.755,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089459,123.8994393,10.29431136,2023-01-30,Monday,08:00,17:00,,,3.0,0.55,0.023,5.058,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089406,123.9246318,10.3394575,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.017,8.88,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012924,123.9182846,10.3098377,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.07,16.728,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70482687,123.9658781,10.28445441,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.007,3.584,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.021,16.148,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70278437,123.8914185,10.31486661,2023-01-26,Thursday,08:00,17:00,,,3.0,0.55,0.061,12.132,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012591,123.8894147,10.30977485,2023-01-23,Monday,08:00,17:00,,,5.0,0.75,0.066,9.487,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.011,6.0,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.0,0.152,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.23,56.187,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.23,56.187,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70482687,123.9658781,10.28445441,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.692,159.775,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70089459,123.8994393,10.29431136,2023-01-30,Monday,08:00,17:00,,,2.0,0.45,0.003,0.432,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70278438,123.8612595,10.28628987,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.002,0.336,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.002,0.339,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70482687,123.9658781,10.28445441,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.016,6.156,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70278442,123.8936381,10.34644814,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.024,4.812,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.001,0.4,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.017,8.64,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.163,42.812,"{AUV, 4w, 6w, 10w, 40ft}"
