Depot,DepotLong,DepotLat,Customer,CusLong,CusLat,DeliveryDate,DOW,Beginning1,Ending1,Beginning2,Ending2,HUs,DwellTime,CBM,KGM,AllowedTrucks,,
2524,121.0973984,14.30953239,70373907,121.0192672,14.57385178,1/13/2023,Friday,8:00,17:00,,,1,1,0,22,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70401488,121.0259834,14.55372651,1/13/2023,Friday,8:00,17:00,,,1,1,0.487,150,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70351598,121.0162849,14.5452904,1/13/2023,Friday,8:00,17:00,,,1,1,1,661,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70435202,121.0267766,14.54964538,1/13/2023,Friday,8:00,17:00,,,1,1,1,291,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70019395,121.0133733,14.5510814,1/13/2023,Friday,8:00,17:00,,,1,1,0,11,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70152945,121.0138355,14.55228764,1/13/2023,Friday,8:00,17:00,,,1,1,0,24,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70343296,121.0282218,14.5622009,1/13/2023,Friday,8:00,17:00,,,1,1,0.003,1.465,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70390799,121.0478496,14.57404122,1/13/2023,Friday,8:00,17:00,,,1,1,1,230,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70017539,121.0690191,14.59052169,1/13/2023,Friday,8:00,16:00,,,1,1,1,208,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70031292,121.0656736,14.52121107,1/13/2023,Friday,8:00,17:00,,,1,1,0.002,1.175,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70043420,121.0276651,14.56539821,1/13/2023,Friday,8:00,17:00,,,1,1,0,46,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70521405,121.0459837,14.48093231,1/13/2023,Friday,8:00,17:00,,,1,1,5,599,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70395155,121.055598,14.55540859,1/13/2023,Friday,8:00,17:00,,,1,0.333333333,0.006,4.261,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70031292,121.0656736,14.52121107,1/13/2023,Friday,8:00,17:00,,,1,1,0,16,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70395155,121.055598,14.55540859,1/13/2023,Friday,8:00,17:00,,,2,0.333333333,2,450,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70395155,121.055598,14.55540859,1/13/2023,Friday,8:00,17:00,,,1,0.333333333,0.005,3.79,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70395155,121.055598,14.55540859,1/13/2023,Friday,8:00,17:00,,,1,0.333333333,1,219,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70082414,121.019613,14.51661422,1/13/2023,Friday,8:00,17:00,,,1,0.333333333,1,126,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70084927,121.0470067,14.60224359,1/13/2023,Friday,8:00,16:00,,,1,1,1,149,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70521405,121.0459837,14.48093231,1/13/2023,Friday,8:00,17:00,,,2,1,0.011,5.342,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70082414,121.019613,14.51661422,1/13/2023,Friday,8:00,17:00,,,2,0.333333333,2,274,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70082414,121.019613,14.51661422,1/13/2023,Friday,8:00,17:00,,,2,0.333333333,0.02,12.84,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70082414,121.019613,14.51661422,1/13/2023,Friday,8:00,17:00,,,1,0.333333333,1,197,"{AUV, 4w, 6w, 10w, 40ft}",,
