"#{""t_start"": 1766644727.1364343"," ""env_id"": ""None""}",
r,l,t
-0.005,1,752.037035
2.7564878,3,752.324656
2.7939777,2,753.375896
3.9448538,36,754.506506
4.0160637,10,756.294906
3.797231,4,756.533132
2.7179284,1,759.566375
3.6546,3,761.827265
4.1410065,10,762.118917
3.682275,16,762.225986
2.6257885,2,763.392246
3.8349056,19,764.421253
3.6457283,4,764.421717
3.1135337,1,764.998642
2.9918196,4,765.002544
3.553996,25,765.858124
3.0273519,2,767.533274
2.6152983,4,768.608372
3.273291,2,768.608706
3.935985,3,769.87715
1.007809,1,771.313157
0.88820106,1,771.799943
2.7659943,2,771.800292
4.04816,5,777.953922
1.2183995,1,778.21836
3.895617,2,778.218864
3.6503148,5,780.23049
2.812087,1,780.23109
3.031989,2,781.646756
3.7801125,3,782.857576
2.610428,1,784.446446
2.0056171,4,784.75911
3.5077808,5,784.759407
0.19593157,1,784.759622
1.5182686,1,785.045451
2.583105,1,785.045779
2.2534585,2,785.197063
2.7771873,10,786.065039
1.4557484,3,789.109933
4.1109695,4,791.754112
3.3050678,31,794.276145
4.285123,9,797.531591
2.642671,2,798.123151
3.9452145,12,799.089017
3.6205714,6,799.089321
4.2830973,9,802.12141
0.38810682,1,802.326169
2.812576,1,810.562489
4.042516,5,810.783475
3.987397,4,810.7838
3.065295,14,811.042278
4.001119,33,812.339919
3.064697,2,812.816536
1.3413838,1,812.816875
1.5339537,1,813.827274
1.1277329,2,813.827599
2.2906432,12,813.97046
4.025917,13,815.582559
3.1681538,2,817.961144
3.8527136,11,818.373236
1.8330942,2,819.667166
3.9970453,4,820.143066
3.306004,36,823.259548
3.7514338,22,824.160127
2.332138,1,824.642877
3.6885023,6,827.028389
4.094005,33,827.102885
2.845951,1,827.250373
3.5423386,9,827.250844
3.5587137,5,829.724401
3.6692305,2,829.724915
3.7846487,7,830.002903
1.583489,1,830.00323
0.42051262,1,830.835489
3.9371593,5,831.073852
2.6304495,3,831.074151
1.5010685,1,831.92726
3.2675836,2,831.927569
3.07756,2,833.216312
2.814833,3,833.216657
4.4257226,3,833.772413
3.7555468,19,837.639121
4.1539865,6,840.414107
4.469457,8,840.449945
3.564231,13,841.626945
3.6825287,1,844.207337
2.5130675,2,844.48885
3.5118139,25,846.402498
3.7821865,9,846.402814
3.289979,3,847.002748
3.0602105,3,850.755838
3.9947875,5,850.965733
2.6847813,1,851.417724
4.2151504,10,859.100019
3.2727737,7,859.100354
3.2302933,3,860.611983
2.6786501,1,862.516498
4.589311,4,863.069957
3.755847,5,863.609046
3.241813,4,863.609373
2.9997108,2,863.851099
3.2959325,2,864.089035
1.959698,1,865.165521
3.73231,3,867.067486
2.648622,2,867.067853
3.4558196,6,870.12412
4.243874,6,874.535189
3.697382,29,874.653755
3.5807924,5,874.995755
3.418226,14,877.866999
3.964299,9,877.867271
4.2441807,2,878.858031
3.867091,7,878.85837
2.915392,2,878.858566
2.6679988,1,879.926679
2.3766289,1,879.927005
1.6301602,1,879.927181
1.8775885,1,881.053288
3.4528527,17,882.046077
3.8561966,5,883.82844
3.2650876,48,886.263872
3.501839,3,886.264253
3.7559552,9,887.516415
1.2399042,1,890.742439
3.2217138,3,890.742851
-0.005,1,893.243417
3.8244877,6,901.43936
3.3182335,6,902.034143
4.1960344,20,902.406465
3.9023786,12,902.604939
4.7528267,16,905.122388
4.444878,7,908.846423
3.015557,1,909.898484
3.7713146,3,912.353744
3.548387,5,912.947299
4.113949,8,913.934532
4.010052,2,913.934917
4.358297,7,918.041965
4.0576677,12,918.562967
3.3011017,5,919.092064
4.018522,12,919.772552
3.4093108,35,919.772851
2.8573928,4,919.773037
2.9658444,14,921.217721
3.2847252,3,921.218039
4.5384974,10,930.484972
3.1996233,31,930.485503
2.5868351,1,934.277405
3.0992136,2,934.632156
3.696613,7,938.499568
3.6400712,5,939.862576
3.6504629,3,948.195336
3.7992525,7,948.42412
3.4928193,3,949.652141
4.3178887,18,950.408903
3.196273,18,958.546463
3.2294953,2,959.344347
2.941524,21,959.567201
4.4544477,13,961.485455
4.242985,7,961.717196
3.0847025,2,962.336777
4.1527257,15,963.998611
4.124448,15,965.065855
3.619388,9,966.494612
3.526965,14,966.494962
1.7943894,2,966.495145
4.0646114,10,972.224911
3.276265,5,976.389683
1.5900297,3,977.347722
3.8454673,6,977.348057
3.2626238,6,978.560585
3.503951,28,978.560911
4.3703513,4,978.856152
4.447047,8,983.687728
3.4503758,7,988.816028
4.3001814,6,993.215283
1.1955334,2,993.413159
3.2236674,3,993.413501
0.39317712,1,995.963911
2.6927307,1,995.964305
3.6102896,8,996.165349
4.4425006,5,997.439229
0.6026605,2,1002.452475
3.4225006,7,1002.45284
3.2461147,3,1003.463847
3.4527187,1,1006.099218
2.6965995,1,1006.09957
3.487921,8,1006.46728
3.7188587,16,1010.227183
3.9689395,2,1010.542394
3.9250815,2,1013.534602
3.7440383,3,1014.33987
3.7332344,4,1017.005226
3.2241676,2,1020.970803
3.365161,8,1020.971156
1.9396266,1,1022.959044
3.6546888,8,1025.311736
2.786509,1,1025.631259
3.3681798,4,1025.631591
3.7106237,7,1025.631771
4.0376377,14,1025.845955
2.1416714,17,1029.075426
3.3703682,48,1029.4535
3.5017228,25,1029.453727
3.7551322,5,1031.126144
2.1963804,3,1034.800071
3.6839106,4,1037.889064
4.1277947,4,1041.267803
4.0325475,5,1044.482965
3.8708508,14,1046.089218
3.5628924,10,1046.089622
3.1843443,6,1050.714693
3.754066,7,1051.476664
4.90983,9,1052.121005
3.8348625,4,1054.648123
3.7291322,14,1054.976372
3.0697749,12,1055.904991
3.5842881,3,1056.032622
3.012113,1,1057.658763
3.7752085,16,1061.172377
1.7777144,2,1061.172683
1.387726,1,1064.074112
3.2470684,2,1064.07445
3.1388419,1,1064.463925
3.5138106,2,1064.46424
3.4787786,8,1066.847788
0.44932473,1,1066.848125
3.6520448,8,1067.044197
2.7719548,7,1071.427403
4.147844,3,1076.975274
4.5724063,6,1078.708413
3.5244834,4,1078.708738
2.318703,2,1082.210815
2.3148515,4,1082.211126
4.0389547,43,1084.226398
1.8950397,3,1086.12737
3.6226642,8,1086.127713
4.189886,12,1087.135916
2.8343406,1,1090.039152
2.92177,2,1091.826518
2.40172,1,1091.826864
4.121912,21,1094.102698
4.212742,17,1095.882916
3.7036722,43,1096.443491
3.8293488,11,1098.196465
1.9937619,2,1098.196793
2.6825476,7,1098.196936
1.2365603,1,1099.161258
3.3919172,17,1099.24391
3.6831603,9,1100.356359
4.616053,4,1104.515969
2.5022135,3,1106.278522
3.6948469,7,1107.544791
4.028295,6,1108.670066
3.2245622,4,1108.876994
4.3430614,5,1109.333476
3.0191321,3,1109.333827
3.6059878,56,1111.356076
2.352827,40,1111.356406
3.8233252,32,1111.482792
2.7826247,2,1111.510527
3.8297846,3,1112.706945
2.658207,2,1112.928696
3.7171478,8,1112.929043
3.4668508,6,1112.9292
2.825423,4,1114.909108
1.9489267,1,1115.23166
2.3677745,1,1115.921977
3.6573,2,1116.438443
2.2636404,1,1120.264645
2.8073983,3,1120.53203
4.0264144,4,1121.122061
2.0411258,1,1121.158468
3.8926272,4,1124.09939
4.146192,19,1127.761837
3.5041485,5,1128.545636
2.8864846,5,1128.827964
1.4515,2,1130.377825
2.9907026,6,1132.334393
3.7863226,18,1134.699786
3.4355683,3,1134.700095
3.9994364,5,1134.887257
3.719868,5,1135.3277
4.0021763,21,1138.368459
3.5614107,13,1141.210471
2.0890281,1,1141.224868
3.4849796,3,1141.225194
2.945546,3,1141.920584
3.5211546,7,1142.447438
1.2365603,1,1144.324873
3.7050223,4,1144.325134
2.733647,1,1146.814037
4.015403,8,1147.083844
3.8418734,9,1152.826008
3.771079,6,1154.106632
2.5858335,3,1155.989841
3.728396,6,1155.990151
4.0610704,9,1159.663683
1.8685421,3,1163.036022
3.6914372,9,1163.036401
3.5671237,4,1164.029964
3.043216,3,1164.538473
3.642519,5,1164.538808
3.1658578,3,1164.538994
0.3981782,1,1164.539117
3.0342262,2,1166.746254
3.7935696,6,1167.655422
3.3714437,6,1169.038678
3.1015234,2,1172.240502
1.7270123,1,1173.534878
3.1490214,2,1175.089533
3.2600641,1,1177.993461
1.8100259,1,1178.357324
3.1902633,5,1179.673054
3.410341,6,1181.422965
3.7792761,6,1181.423249
0.18029597,2,1183.725176
2.0423565,1,1190.404015
3.3290923,2,1190.404312
2.1274447,1,1190.897861
3.1656506,29,1191.351218
1.4257442,2,1193.66308
4.1492453,18,1194.010537
1.0437064,1,1196.042643
3.5038373,5,1196.04303
3.225089,7,1196.04319
4.166922,11,1198.019562
3.7620482,17,1198.347805
3.5415545,3,1199.368524
1.425612,2,1200.479977
0.47821492,2,1200.480288
4.172241,32,1200.653372
4.0689306,10,1200.653677
0.7480097,1,1203.018946
2.4633868,3,1203.216071
4.184085,16,1205.022948
3.2691596,2,1205.068542
4.188063,23,1208.268224
4.52033,7,1208.559132
2.999033,2,1210.319996
3.5765014,54,1210.754163
3.5691636,12,1214.464277
2.7368836,23,1215.333261
1.7006154,1,1215.333608
3.5370085,4,1215.889737
2.9763238,1,1215.890092
3.869785,7,1217.75515
2.983944,4,1218.040729
2.2024183,1,1218.279869
3.3503048,3,1218.768466
4.120027,8,1219.71706
4.2321653,5,1219.717367
2.3631713,3,1225.863039
3.6468627,6,1225.86338
2.7529726,6,1225.863549
3.4710333,2,1229.135077
3.4850895,6,1232.457352
4.284157,9,1232.627058
3.8086193,5,1233.332564
3.977166,10,1238.70352
