#{"t_start": 1766685730.0247612, "env_id": "None"}
r,l,t
3.4003808,3,10615.360816
1.8123808,1,10616.748786
3.9219873,17,10643.264452
3.28186,21,10665.032525
4.337054,22,10712.675075
3.5881047,16,10721.375195
3.7237973,32,10730.615769
3.9330654,41,10746.802562
3.3682022,6,10749.213447
3.2694428,6,10755.86991
3.8151252,8,10772.369575
4.2401066,17,10777.015866
3.3147562,21,10781.613806
3.4507773,8,10796.843382
3.126029,7,10800.751918
3.909337,14,10825.252612
3.4174805,8,10825.708157
3.82928,21,10831.189202
3.7762961,5,10843.947989
2.1123607,2,10853.722794
4.017755,9,10856.32503
3.7733853,18,10863.214377
3.925658,14,10864.428812
4.192998,6,10870.747863
3.8544443,3,10875.577877
3.0386374,2,10883.83636
3.657524,13,10930.700135
4.598247,14,10938.051722
0.54999113,1,10939.443376
4.1403527,20,10939.443785
4.246815,15,10950.18191
3.3721113,12,10978.843138
3.952878,10,11022.506388
3.8928692,18,11027.527788
3.973073,3,11032.718569
4.4235334,22,11032.718899
4.3530526,10,11060.278294
3.801483,11,11069.989302
3.9288075,12,11073.351779
3.5213618,41,11104.572235
3.5396087,12,11116.173528
-0.005,1,11119.917186
4.0517535,4,11127.024007
3.9354415,4,11139.381586
3.3458683,22,11170.154905
3.0241935,23,11176.344534
3.9713268,15,11184.305545
3.7879078,11,11184.688741
3.8621624,9,11215.946065
3.5867124,9,11224.084535
3.8237638,13,11251.570744
3.162933,22,11264.563553
4.1141343,10,11304.464986
3.6079226,19,11304.465347
2.8107257,2,11306.092482
2.806236,2,11306.092811
2.2226858,2,11311.053908
3.542247,38,11357.782401
3.6882653,19,11374.095059
3.369427,10,11408.540563
4.2596006,31,11424.621969
4.2894497,22,11436.78657
3.08439,59,11466.298813
4.00664,21,11500.458814
3.574427,20,11547.58359
2.8617225,34,11586.740889
3.3718884,42,11586.74153
3.6132889,3,11599.024449
4.491079,4,11605.460032
3.3436532,29,11634.561278
2.7878776,2,11646.112636
3.8485224,25,11670.640449
3.7525945,13,11670.640816
4.0653896,18,11685.891179
4.2550993,23,11771.954353
2.8938406,27,11773.145479
3.6004758,28,11793.821325
3.176055,26,11806.08144
4.194084,9,11841.846336
3.9757822,8,11846.722447
3.7037468,9,11880.243274
3.2979906,2,11892.606561
2.9443464,4,11911.725981
3.7561135,30,11912.008375
3.613232,3,11926.584457
3.942811,20,11926.585229
2.482892,1,11931.855149
3.3601613,35,11931.855678
4.458593,6,11932.202014
2.1433225,1,11932.202326
3.4665732,10,11967.303768
4.0367355,8,11967.30426
3.3785942,14,12024.38852
3.9614902,14,12024.389002
3.4162204,28,12052.752981
2.196747,1,12056.90546
4.035194,10,12071.805596
3.5038846,5,12075.736258
2.8240137,41,12118.600241
3.6899095,18,12197.416997
3.5155919,27,12200.230955
3.2754853,32,12217.360094
3.2947083,44,12227.876427
3.4231958,6,12227.876812
2.0851471,6,12241.756832
4.6995473,14,12256.89587
4.0340676,11,12264.67927
4.213448,14,12274.234829
3.7037792,3,12284.449003
4.0197387,13,12284.449409
4.4484844,3,12308.149894
3.3529646,1,12313.33921
3.7594142,5,12316.70211
3.9359095,14,12333.737791
4.076268,19,12336.600863
3.7188466,21,12421.85249
3.694789,37,12479.669281
4.2009497,34,12483.338881
4.0205307,3,12499.76949
3.4090726,3,12504.893951
3.3347135,46,12509.903102
1.3388526,1,12518.550455
3.4813893,6,12533.335405
4.0503855,28,12541.660545
3.8777518,7,12566.364725
4.126321,27,12592.093803
3.6634855,8,12616.207275
3.5015173,17,12635.409315
3.5322855,6,12665.025781
3.2330775,2,12669.344017
3.568508,39,12700.815385
3.8663685,19,12712.327043
3.1445827,2,12712.32745
1.1677027,1,12716.197349
3.962122,4,12736.547056
3.7624369,2,12739.458434
3.1672711,2,12744.945418
2.629808,2,12748.121202
3.4744377,19,12753.256
1.2369269,1,12755.435918
3.2589228,63,12774.690713
3.346246,19,12780.508411
3.7628958,8,12810.66438
3.6864233,16,12812.076819
3.8600163,4,12827.612357
3.934598,3,12827.612759
3.4063704,28,12862.489889
4.0260105,12,12862.840922
4.6668315,5,12881.013355
4.0169907,20,12901.284844
3.571148,3,12908.817402
4.857186,12,12909.121429
3.856758,9,12916.779431
3.1362488,3,12917.953112
3.926413,41,12945.317275
2.5681136,2,12949.447795
3.5237799,5,12967.475499
-0.005,1,12969.419305
3.957894,13,12974.231549
3.514973,19,12992.916513
3.7495928,12,13026.368459
3.2625024,7,13026.36887
3.9833746,2,13039.486509
3.1693153,2,13047.874406
2.6821222,5,13051.020813
3.6619911,18,13051.021196
4.6011024,5,13068.754784
3.637702,3,13074.152599
2.964283,56,13145.253829
3.0332205,5,13169.124084
3.7691762,30,13171.518085
3.662216,3,13189.953482
3.853064,15,13233.97159
2.9780748,45,13235.69207
3.6868017,40,13243.651067
3.9940546,6,13248.647757
3.8114464,12,13277.998616
3.7499697,31,13316.426936
3.6624591,7,13316.427275
3.651014,15,13319.510488
3.5990348,3,13332.380697
3.534685,4,13333.895374
3.3122625,23,13339.276607
1.7008212,1,13342.96875
3.5879571,4,13342.969324
3.8283544,8,13343.383146
1.2365603,1,13343.383497
