#{"t_start": 1766670828.3623374, "env_id": "None"}
r,l,t
1.6299953,100,1557.742925
4.6917973,84,1566.635835
3.6214087,100,1566.636155
3.7848506,100,1569.161114
2.7304506,30,1571.586312
4.2322016,91,1574.503608
4.9758086,53,1579.956683
3.6382496,100,1585.011203
4.49577,5,1585.930015
4.7276163,83,1587.325209
3.7767708,100,1595.07748
3.643977,100,1598.332566
1.6329163,100,1605.746552
3.6091504,100,1608.02514
4.835206,66,1608.026346
4.8951597,15,1610.95678
5.233401,29,1612.137785
4.914289,67,1612.481864
4.7097006,82,1623.95835
4.9999914,66,1624.866844
4.8790307,75,1626.665453
4.5911226,85,1627.00104
4.9515743,55,1637.288334
4.81386,82,1640.458579
4.039643,93,1641.412596
3.838754,100,1646.539978
5.0895305,45,1649.383815
3.969958,100,1657.019333
4.9602947,45,1657.941628
3.502396,7,1659.372034
1.7176208,100,1660.903611
4.785498,76,1661.130665
5.0472713,29,1662.49004
5.1306515,25,1669.073609
4.9568577,43,1671.17975
4.7533865,59,1672.29925
4.82672,71,1675.930113
4.9360833,65,1684.105612
4.95893,77,1687.301799
3.8616893,100,1688.144069
5.092611,15,1690.560743
1.7719306,95,1694.767107
4.94353,68,1698.181273
4.8788095,56,1699.260805
2.8280947,16,1701.167888
3.7521794,100,1711.782021
3.801639,100,1715.671413
4.052586,95,1717.674318
5.170893,32,1717.869859
3.6055112,100,1720.529928
4.698756,74,1733.211718
3.8130374,100,1735.344628
4.798146,82,1736.914729
3.627744,100,1737.405467
3.77026,100,1752.637427
3.795887,100,1756.207579
3.8224926,100,1758.104467
3.7833605,100,1758.620006
4.716016,76,1767.073345
5.089922,66,1770.255948
4.6993365,64,1770.557938
3.8225098,100,1775.539286
4.850049,78,1786.500079
3.7165341,100,1788.61765
4.8321977,64,1788.803224
2.5097117,2,1789.261871
3.565236,100,1790.898244
2.5147119,1,1791.143591
4.812485,78,1804.595062
4.5373254,86,1805.585836
3.6944237,100,1806.495468
3.8003645,100,1810.35106
5.0952034,39,1812.693291
4.88553,48,1813.789931
5.2220025,23,1819.00976
3.9866297,100,1825.707848
4.284388,92,1828.88176
3.6667678,100,1833.742832
3.6812415,100,1838.265048
5.040786,55,1839.809663
4.848784,56,1844.727257
3.7331455,100,1847.320546
5.098827,43,1847.914549
4.2422233,90,1859.869469
4.897235,63,1861.235503
4.2243886,88,1864.091012
4.7977943,19,1864.091338
3.6123195,100,1868.733481
4.86249,57,1875.277359
3.65189,100,1880.627152
3.745817,99,1883.076873
4.912837,57,1885.978645
3.9904745,100,1889.000488
5.020338,50,1891.732314
4.918734,68,1902.029152
3.6668093,100,1903.624907
3.8532994,100,1907.410325
4.741924,17,1907.755456
4.8341603,13,1910.309779
3.7202911,99,1911.207629
4.7561946,64,1920.115656
4.0234957,96,1922.568383
5.1281834,18,1923.644448
2.171678,89,1927.197291
3.5299294,100,1930.090459
4.90886,73,1937.002642
4.0175486,100,1942.790238
4.4070005,88,1944.717135
3.9561436,100,1951.773502
3.6384084,100,1956.101909
3.7710116,100,1961.564015
3.6943111,100,1964.428015
2.6182802,79,1966.235344
4.864939,67,1969.353234
4.756477,60,1973.61768
4.9473915,58,1976.726191
3.6536353,100,1984.489961
4.8541446,81,1985.476784
3.7875023,100,1994.206792
3.6391141,100,1997.119245
1.510404,100,2002.581961
1.5199763,100,2003.555656
5.215207,15,2006.594493
3.5435984,100,2013.269874
3.7163963,99,2015.6348
4.8375845,68,2016.357755
4.737188,58,2018.116656
4.936331,66,2026.572663
4.9942317,71,2032.257172
2.6374712,33,2032.257482
3.940621,94,2034.103264
3.9978607,93,2034.770636
4.855763,80,2047.737552
4.4986854,86,2050.654736
3.7188878,100,2052.100091
4.7631016,16,2056.237809
1.5796487,100,2056.424308
5.0439925,20,2057.984734
4.8298774,79,2065.338885
4.7735705,57,2070.300066
4.8447175,71,2071.469451
3.6066449,100,2076.140645
3.6976414,100,2086.173921
3.7666404,100,2089.195389
3.7614534,100,2090.339544
2.7327979,79,2091.554837
4.051662,94,2104.205488
3.7265446,100,2108.249018
4.3382115,91,2108.956255
3.709013,100,2109.508794
5.277303,15,2112.04141
4.0625005,97,2123.122112
4.8469377,71,2123.875194
3.7180982,100,2130.531704
3.771814,100,2132.524328
4.444802,88,2142.654569
3.910202,100,2144.687515
4.903812,75,2145.829093
3.831502,96,2151.073823
3.8034544,100,2161.89252
1.557736,100,2163.394152
3.6217496,100,2164.567528
3.6458652,100,2171.474738
4.9678698,72,2178.414477
3.7693555,100,2182.001974
4.8997765,62,2183.269118
3.6675422,100,2184.905758
4.9687586,43,2193.841811
4.8328943,78,2194.088728
4.747241,82,2198.336901
3.8233643,100,2204.791052
4.852221,53,2209.489663
3.6930199,100,2213.110908
3.8236175,100,2213.292924
3.7147832,100,2224.043192
4.899421,63,2226.377274
5.087143,15,2226.75866
3.786294,100,2229.326342
5.079922,29,2234.041798
3.709043,100,2234.905898
2.520534,1,2235.133108
4.8161974,13,2237.434388
4.972889,25,2241.886749
4.734037,72,2244.1109
3.8106728,100,2248.231893
